Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUJ01214	Toy Story Racer	US	fuzzy:0.91	Disney-Pixar Toy Story Racer	SLUS-01214
NPUJ01224	Arc the Lad	US	exact(other region)	Arc the Lad | Arc the Lad [PSOne Books]	SCPS-10008 / SCPS-91004 / SCPS-91302
NPUJ01235	Rayman 2: The Great Escape	US	exact	Rayman 2: The Great Escape | Rayman 2: The Great Escape (Demo)	SLUS-01235 / SLUS-90095
NPUJ01251	Final Fantasy IX	US	exact	Final Fantasy IX (Disc 1) (Rev 1) | Final Fantasy IX (Disc 2) (Rev 1) | Final Fantasy IX (Disc 3) (Rev 1) | Final Fantasy IX (Disc 4) (Rev 1)	SLUS-01251 / SLUS-01295 / SLUS-01296 / SLUS-01297
NPUJ01252	Arc the Lad II	US	exact(other region)	Arc the Lad II	SCPS-10026 / SCPS-91071 / SCPS-91310
NPUJ01253	Arc the Lad III	US	exact(other region)	Arc the Lad III | Arc the Lad III (Disc 1) | Arc the Lad III (Disc 2)	PAPX-90093 / PAPX-90099 / PCPX-96176 / SCPS-10106 / SCPS-10107 / SCPS-45438 / SCPS-45439 / SCPS-91228 / SCPS-91229 / SCPS-91316 / SCPS-91317
NPUJ01255	Arc Arena: Monster Tournament	US	fuzzy:0.92	Arc the Lad Collection: Arc Arena: Monster Tournament	SLUS-01255
NPUJ01270	Medal of Honor Underground	US	exact	Medal of Honor: Underground	SLUS-01270
NPUJ01279	Dino Crisis 2	US	exact	Dino Crisis 2 | Dino Crisis 2 (Demo)	SLUS-01279 / SLUS-90087
NPUJ01286	Disney’s The Little Mermaid II	US	exact	Disney's The Little Mermaid II	SLUS-01286
NPUJ01288	Bowling	US	exact	Bowling	SLUS-01288
NPUJ01291	Racing	US	exact	Racing	SLUS-01291
NPUJ01299	Spec Ops: Ranger Elite	US	exact	Spec Ops: Ranger Elite	SLUS-01299
NPUJ01301	Ford Racing	US	exact	Ford Racing	SLUS-01301
NPUJ01302	Starfighter Sanvein	US	exact	Starfighter Sanvein	SLUS-01302
NPUJ01307	Star Sweep	US	fuzzy:0.92	Puzzle Star Sweep	SLUS-01307
NPUJ01308	Space Shot	US	exact	Space Shot	SLUS-01308
NPUJ01309	Boxing	US	exact	Boxing	SLUS-01309
NPUJ01324	Breath of Fire 4	US	fuzzy:0.95	Breath of Fire IV | Breath of Fire IV (Beta)	SLPS-02728 / SLUS-01324
NPUJ01332	The King of Fighters ’99	US	exact(other region)	The King of Fighters '99 | The King of Fighters '99 [SNK Best Collection] [Reprint]	SCPS-45489 / SLPM-86462 / SLPM-86784 / SLPS-03450
NPUJ01334	Mega Man X5	US	exact	Mega Man X5	SLUS-01334
NPUJ01335	Battle Hunter	US	exact	Battle Hunter	SLUS-01335
NPUJ01342	Crossroad Crisis	US	exact	Crossroad Crisis	SLUS-01342
NPUJ01363	Chrono Trigger	US	exact(other region)	Chrono Trigger	SCPS-45446 / SLPM-87374 / SLPS-02430 / SLPS-91446
NPUJ01371	Putter Golf	US	exact	Putter Golf	SLUS-01371
NPUJ01374	Virtual Pool 3	US	exact	Virtual Pool 3	SLUS-01374
NPUJ01379	Card Games	US	exact	Card Games	SLUS-01379
NPUJ01381	Saiyuki: Journey West	US	exact	Saiyuki: Journey West	SLUS-01381
NPUJ01384	Castlevania Chronicles	US	exact	Castlevania Chronicles	SLUS-01384
NPUJ01400	Chess	US	exact	Chess	SLUS-01400
NPUJ01412	Kickboxing	US	exact	Kickboxing	SLUS-01412
NPUJ01420	Spec Ops: Covert Assault	US	exact	Spec Ops: Covert Assault	SLUS-01420
NPUJ01431	All-Star Slammin D-Ball	US	exact	All-Star Slammin' D-Ball	SLUS-01431
NPUJ01447	Spec Ops: Airborne Commando	US	exact	Spec Ops: Airborne Commando	SLUS-01447
NPUJ01450	Street Racquetball	US	exact	Street Racquetball	SLUS-01450
NPUJ01470	Aces of the Air	US	exact	Aces of the Air	SLUS-01470
NPUJ01490	Monster Bass!	US	exact	Monster Bass	SLUS-01490
NPUJ01495	Sorcerer’s Maze	US	exact	Sorcerer's Maze	SLUS-01495
NPUJ01499	Turnabout	US	exact	Turnabout	SLUS-01499
NPUJ01506	XS Moto	US	exact	XS Moto	SLUS-01506
